end_to_end_duration state_size
675 22313030
634 17258850
509 7878452
765 20541319
582 12479895
708 17628942
498 9460866
658 20455423
502 12505034
529 12739012
686 15742216
697 20521957
547 15754006
997 20734008
760 12718092
499 10730571
806 21846975
899 20637539
576 15591973
648 15672708
803 17479524
536 9747090
644 18851329
381 7791442
842 22247142
505 9555196
599 15923697
606 16020421
708 17527827
882 18911710
570 12860629
460 15838475
9686 48481766
7652 37671216
8314 17182633
9860 45382536
5178 27443738
8781 38593575
6168 20671969
9862 45018797
7695 27884697
8167 28248932
7962 34781543
10198 45556510
8191 34681983
9828 45647427
7995 27741261
7976 23721590
9581 48663588
9825 45609652
8555 34708562
8224 34837018
8459 38405628
3552 21341784
8299 41050391
5807 17264948
9475 48762343
6514 20846875
8648 34857579
8208 34799652
9993 38433254
9107 41774548
6440 27738263
6871 35016461
1018 60613715
694 47337353
363 21371735
1052 56598428
395 34332604
869 48099924
536 26374786
755 56168119
767 35177574
624 35065126
619 43525146
839 57097336
711 43606911
726 56897069
338 35184956
457 29877418
1040 60916195
1070 56883478
552 43523441
709 43285267
810 48166877
495 26753627
694 51169380
275 21624679
1025 60732290
508 26402540
549 43990205
625 43543281
799 48121875
1127 52033404
564 34826980
555 43753959
12168 60782206
11031 47504297
11389 21504238
11544 56746100
8461 34401915
8644 48141719
5879 26538669
11538 56302912
12322 35048768
6987 34999390
12039 43451501
11348 57082265
11602 43579500
10426 56795712
6760 35094878
10787 30301904
12312 61284939
12011 56940536
6290 43445738
10378 43528850
11883 48023154
7379 26344892
9244 51215052
2867 21601839
11303 60864919
5817 26421879
10987 44230243
10333 43647914
12245 48175450
12210 52305855
10841 34879337
11392 43491204
1012 61036180
559 48160336
304 21864578
1056 57613650
527 34908633
799 48230346
486 26511098
786 57317388
536 35468974
579 35335130
477 43653580
903 57552985
767 44017362
607 57343805
477 35467068
502 30375009
1018 62002339
841 57110647
675 43988097
715 43951752
870 48349407
386 26469393
779 51800599
432 21861243
1090 61649144
386 26694207
630 44401103
663 43775977
770 48614288
846 52586421
575 35234045
559 43467087
11524 61517618
11373 48075646
4896 21825999
12336 58008219
9745 34877541
10118 48253966
10008 26452052
11484 57505540
12227 35414739
10205 35328283
12368 43765543
12008 57907963
11661 44289292
12159 57760871
11274 35300485
9220 30333772
11518 61999441
10871 57544130
11122 44300550
10990 43970812
7329 48521634
10668 26766745
12275 52216855
8337 21970324
10209 61819373
4911 26813330
9983 44434645
10685 43801259
11917 49025915
11201 52685752
8996 35306207
9137 43752287
